source,author,title,description,url,publishedAt,content
MarketingProfs.com,Ed Valdez,"Jamie Dimon on AI: What He Gets Right, and What He Leaves Out","Explore JPMorgan Chase CEO Jamie Dimon's views on AI, with highlights of what he gets right and key aspects he overlooks. Read now! Read the full article at MarketingProfs",https://www.marketingprofs.com/articles/2024/52388/ai-what-jamie-dimon-gets-right-and-leaves-out,2024-11-21T15:00:00Z,JPMorgan Chase CEO Jamie Dimon has had much to say on the subject of artificial intelligence (AI). And every time the banking titan makes a public statement or sits down for an interview—as he did wi… [+5299 chars]
Quartz India,Rocio Fabbro,The Dow drops 200 points as Putin rattles Russia's nuclear saber,"Dow futures plunged more than 200 points Tuesday morning after Russian President Vladimir Putin lowered the bar for the use of nuclear weapons, just days after President Joe Biden signed off on the use of American-made long-rage missiles by Ukraine.Read more.…",https://qz.com/djia-sp-500-nasdaq-markets-putin-nuclear-russia-biden-1851702586,2024-11-19T13:18:32Z,"In This Story
Dow futures plunged more than 200 points Tuesday morning after Russian President Vladimir Putin lowered the bar for the use of nuclear weapons, just days after President Joe Biden sign… [+1988 chars]"
Yahoo Entertainment,,Bank of America Stock vs. JPMorgan Chase Stock: Wall Street Sees Limited Upside in One But Rates the Other a Strong Buy,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_cb45a927-de18-4d46-8b67-5e8933d8d515,2024-11-16T08:48:00Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
Forbes,"Gerry Gebel, Forbes Councils Member, 
 Gerry Gebel, Forbes Councils Member
 https://www.forbes.com/councils/forbestechcouncil/people/gerrygebel/",How To Address Cloud Identity Governance Blind Spots,"Working directly with organizations that are navigating the complexities of multicloud environments, one thing has become clear.",https://www.forbes.com/councils/forbestechcouncil/2024/11/21/how-to-address-cloud-identity-governance-blind-spots/,2024-11-21T12:30:00Z,"Gerry Gebel, Strata Identity Head of Standards, former Burton Group analyst and tech executive at Chase Manhattan Bank (now JPMorgan Chase).
getty
Working directly with organizations that are navig… [+6204 chars]"
Yahoo Entertainment,Sunil Jagtiani,Bitcoin Rebounds From Token’s Largest Retreat Since US Election,(Bloomberg) -- Bitcoin recovered from its biggest two-day retreat since the US election in choppy trading that reflects shifting assessments of the impact of...,https://finance.yahoo.com/news/bitcoin-churns-near-90-000-010941076.html,2024-11-18T07:38:41Z,(Bloomberg) -- Bitcoin recovered from its biggest two-day retreat since the US election in choppy trading that reflects shifting assessments of the impact of President-elect Donald Trumps policy agen… [+2393 chars]
Patently Apple,Jack Purcher,Sensor Tower reveals that Apple’s App Store Performance in October was Impressive to kick-off Calendar Q4,"October data shared by Sensor Tower by JPMorgan Chase showed that Apple's App Store revenue increased by 15% year-on-year, downloads increased by 7.5% year-on-year, and the average selling price of apps increased by 7.3% year-on-year. According to agency data…",https://www.patentlyapple.com/2024/11/sensor-tower-reveals-that-apples-app-store-performance-in-october-was-impressive-to-kick-off-calendar-q4.html,2024-11-20T11:17:27Z,"October data shared by Sensor Tower by JPMorgan Chase showed that Apple's App Store revenue increased by 15% year-on-year, downloads increased by 7.5% year-on-year, and the average selling price of a… [+612 chars]"
Forbes,"Brett Owens, Contributor, 
 Brett Owens, Contributor
 https://www.forbes.com/sites/brettowens/",Bond Funds Up To 11% That Are Actually Winning Right Now,I’m cautious on bonds. The 10-year Treasury yield has been on a tear since Jay Powell first cut the Fed Funds Rate.,https://www.forbes.com/sites/brettowens/2024/11/17/bond-funds-up-to-11-that-are-actually-winning-right-now/,2024-11-17T12:30:00Z,"The word bonds on wooden cubes with office desktop. Business finance stock exchange concept.
getty
Fifteen months ago, we contrarians started the bond bandwagon. Its hard to believe now, but back t… [+6628 chars]"
ETF Daily News,MarketBeat News,"Sumitomo Mitsui Trust Group Inc. Acquires 261,363 Shares of JPMorgan Chase & Co. (NYSE:JPM)","Sumitomo Mitsui Trust Group Inc. grew its holdings in JPMorgan Chase & Co. (NYSE:JPM) by 3.9% during the 3rd quarter, HoldingsChannel.com reports. The firm owned 7,017,646 shares of the financial services provider’s stock after buying an additional 261,363 sh…",https://www.etfdailynews.com/2024/11/17/sumitomo-mitsui-trust-group-inc-acquires-261363-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-17T10:16:56Z,"Sumitomo Mitsui Trust Group Inc. grew its holdings in JPMorgan Chase &amp; Co. (NYSE:JPM) by 3.9% during the 3rd quarter, HoldingsChannel.com reports. The firm owned 7,017,646 shares of the financial… [+6128 chars]"
ETF Daily News,MarketBeat News,Simmons Bank Has $13.73 Million Stock Holdings in JPMorgan Chase & Co. (NYSE:JPM),"Simmons Bank trimmed its position in JPMorgan Chase & Co. (NYSE:JPM) by 0.3% in the third quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The firm owned 65,116 shares of the financial services pr…",https://www.etfdailynews.com/2024/11/18/simmons-bank-has-13-73-million-stock-holdings-in-jpmorgan-chase-co-nysejpm/,2024-11-18T10:43:15Z,"Simmons Bank trimmed its position in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.3% in the third quarter, according to the company in its most recent Form 13F filing with the Securities &amp; Exchange C… [+5969 chars]"
ETF Daily News,MarketBeat News,ING Groep NV Has $15.03 Million Holdings in JPMorgan Chase & Co. (NYSE:JPM),"ING Groep NV lowered its stake in shares of JPMorgan Chase & Co. (NYSE:JPM) by 74.1% during the third quarter, HoldingsChannel reports. The fund owned 71,273 shares of the financial services provider’s stock after selling 203,982 shares during the quarter. IN…",https://www.etfdailynews.com/2024/11/19/ing-groep-nv-has-15-03-million-holdings-in-jpmorgan-chase-co-nysejpm/,2024-11-19T09:23:07Z,"ING Groep NV lowered its stake in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 74.1% during the third quarter, HoldingsChannel reports. The fund owned 71,273 shares of the financial services prov… [+6082 chars]"
ETF Daily News,MarketBeat News,GoalVest Advisory LLC Raises Stake in JPMorgan Chase & Co. (NYSE:JPM),"GoalVest Advisory LLC raised its position in JPMorgan Chase & Co. (NYSE:JPM) by 4.1% in the 3rd quarter, Holdings Channel reports. The firm owned 14,207 shares of the financial services provider’s stock after buying an additional 554 shares during the quarter…",https://www.etfdailynews.com/2024/11/21/goalvest-advisory-llc-raises-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-21T10:08:46Z,"GoalVest Advisory LLC raised its position in JPMorgan Chase &amp; Co. (NYSE:JPM) by 4.1% in the 3rd quarter, Holdings Channel reports. The firm owned 14,207 shares of the financial services provider’… [+5817 chars]"
ETF Daily News,MarketBeat News,Huntington National Bank Has $376.18 Million Stake in JPMorgan Chase & Co. (NYSE:JPM),"Huntington National Bank trimmed its position in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.7% during the 3rd quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The firm owned 1,784,005 shares of the financial…",https://www.etfdailynews.com/2024/11/19/huntington-national-bank-has-376-18-million-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-19T11:42:51Z,"Huntington National Bank trimmed its position in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.7% during the 3rd quarter, according to its most recent Form 13F filing with the Securities &amp; E… [+5473 chars]"
ETF Daily News,MarketBeat News,"Regal Partners Ltd Sells 29,939 Shares of JPMorgan Chase & Co. (NYSE:JPM)","Regal Partners Ltd decreased its position in JPMorgan Chase & Co. (NYSE:JPM) by 20.8% in the 3rd quarter, according to the company in its most recent 13F filing with the SEC. The fund owned 113,796 shares of the financial services provider’s stock after selli…",https://www.etfdailynews.com/2024/11/18/regal-partners-ltd-sells-29939-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-18T10:43:26Z,"Regal Partners Ltd decreased its position in JPMorgan Chase &amp; Co. (NYSE:JPM) by 20.8% in the 3rd quarter, according to the company in its most recent 13F filing with the SEC. The fund owned 113,7… [+6134 chars]"
Biztoc.com,247wallst.com,Jamie Dimon’s Brilliant Advice for Anyone Nearing Retirement,"24/7 Wall St. Insights
Jamie Dimon, CEO of JPMorgan Chase, uses his experience to help others succeed in their careers.
Many individuals in their 60s can apply Dimon’s wisdom as they near retirement.
Jamie Dimon is the CEO of JPMorgan Chase and a great busine…",https://biztoc.com/x/69175e2d41835de1,2024-11-18T02:09:02Z,"24/7 Wall St. InsightsJamie Dimon, CEO of JPMorgan Chase, uses his experience to help others succeed in their careers.Many individuals in their 60s can apply Dimons wisdom as they near retirement.Jam… [+140 chars]"
ETF Daily News,MarketBeat News,Jaffetilchin Investment Partners LLC Has $9.05 Million Stock Holdings in JPMorgan Chase & Co. (NYSE:JPM),"Jaffetilchin Investment Partners LLC increased its position in shares of JPMorgan Chase & Co. (NYSE:JPM) by 3.9% during the third quarter, Holdings Channel reports. The institutional investor owned 42,900 shares of the financial services provider’s stock afte…",https://www.etfdailynews.com/2024/11/16/jaffetilchin-investment-partners-llc-has-9-05-million-stock-holdings-in-jpmorgan-chase-co-nysejpm/,2024-11-16T10:53:21Z,"Jaffetilchin Investment Partners LLC increased its position in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 3.9% during the third quarter, Holdings Channel reports. The institutional investor own… [+6062 chars]"
ETF Daily News,MarketBeat News,Dearborn Partners LLC Has $23.24 Million Stock Holdings in JPMorgan Chase & Co. (NYSE:JPM),"Dearborn Partners LLC trimmed its holdings in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.2% during the 3rd quarter, Holdings Channel reports. The institutional investor owned 110,223 shares of the financial services provider’s stock after selling 245 shar…",https://www.etfdailynews.com/2024/11/20/dearborn-partners-llc-has-23-24-million-stock-holdings-in-jpmorgan-chase-co-nysejpm/,2024-11-20T11:44:51Z,"Dearborn Partners LLC trimmed its holdings in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.2% during the 3rd quarter, Holdings Channel reports. The institutional investor owned 110,223 shares o… [+5887 chars]"
ETF Daily News,MarketBeat News,Sather Financial Group Inc Has $2.05 Million Stake in JPMorgan Chase & Co. (NYSE:JPM),"Sather Financial Group Inc boosted its holdings in JPMorgan Chase & Co. (NYSE:JPM) by 17.3% during the 3rd quarter, HoldingsChannel reports. The institutional investor owned 9,709 shares of the financial services provider’s stock after acquiring an additional…",https://www.etfdailynews.com/2024/11/21/sather-financial-group-inc-has-2-05-million-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-21T08:58:54Z,"Sather Financial Group Inc boosted its holdings in JPMorgan Chase &amp; Co. (NYSE:JPM) by 17.3% during the 3rd quarter, HoldingsChannel reports. The institutional investor owned 9,709 shares of the f… [+5973 chars]"
ETF Daily News,MarketBeat News,Access Investment Management LLC Has $10.54 Million Stake in JPMorgan Chase & Co. (NYSE:JPM),"Access Investment Management LLC lowered its stake in JPMorgan Chase & Co. (NYSE:JPM – Free Report) by 16.7% during the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 50,000 shares of the finan…",https://www.etfdailynews.com/2024/11/16/access-investment-management-llc-has-10-54-million-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-16T10:53:22Z,"Access Investment Management LLC lowered its stake in JPMorgan Chase &amp; Co. (NYSE:JPM – Free Report) by 16.7% during the 3rd quarter, according to its most recent disclosure with the Securities an… [+5881 chars]"
ETF Daily News,MarketBeat News,tru Independence LLC Has $6.51 Million Stake in JPMorgan Chase & Co. (NYSE:JPM),"tru Independence LLC reduced its holdings in JPMorgan Chase & Co. (NYSE:JPM) by 17.6% during the 3rd quarter, HoldingsChannel reports. The firm owned 30,854 shares of the financial services provider’s stock after selling 6,599 shares during the quarter. JPMor…",https://www.etfdailynews.com/2024/11/16/tru-independence-llc-has-6-51-million-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-16T10:53:20Z,"tru Independence LLC reduced its holdings in JPMorgan Chase &amp; Co. (NYSE:JPM) by 17.6% during the 3rd quarter, HoldingsChannel reports. The firm owned 30,854 shares of the financial services provi… [+6183 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Shares Purchased by Opinicus Capital Inc.,"Opinicus Capital Inc. boosted its position in JPMorgan Chase & Co. (NYSE:JPM) by 0.4% in the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission. The fund owned 19,477 shares of the financial services provider’s stock …",https://www.etfdailynews.com/2024/11/16/jpmorgan-chase-co-nysejpm-shares-purchased-by-opinicus-capital-inc/,2024-11-16T11:44:55Z,"Opinicus Capital Inc. boosted its position in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.4% in the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission. The fund… [+6229 chars]"
ETF Daily News,MarketBeat News,Addison Advisors LLC Sells 231 Shares of JPMorgan Chase & Co. (NYSE:JPM),"Addison Advisors LLC trimmed its stake in shares of JPMorgan Chase & Co. (NYSE:JPM) by 2.5% in the third quarter, HoldingsChannel reports. The firm owned 8,933 shares of the financial services provider’s stock after selling 231 shares during the quarter. Addi…",https://www.etfdailynews.com/2024/11/16/addison-advisors-llc-sells-231-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-16T10:00:59Z,"Addison Advisors LLC trimmed its stake in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 2.5% in the third quarter, HoldingsChannel reports. The firm owned 8,933 shares of the financial services pr… [+5999 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. Issues Pessimistic Forecast for Medtronic (NYSE:MDT) Stock Price,Medtronic (NYSE:MDT – Free Report) had its target price lowered by JPMorgan Chase & Co. from $99.00 to $96.00 in a report released on Friday morning. JPMorgan Chase & Co. currently has a neutral rating on the medical technology company’s stock. A number of ot…,https://www.etfdailynews.com/2024/11/18/jpmorgan-chase-co-issues-pessimistic-forecast-for-medtronic-nysemdt-stock-price/,2024-11-18T08:38:51Z,Medtronic (NYSE:MDT – Free Report) had its target price lowered by JPMorgan Chase &amp; Co. from $99.00 to $96.00 in a report released on Friday morning. JPMorgan Chase &amp; Co. currently has a neut… [+4623 chars]
ETF Daily News,MarketBeat News,Rossmore Private Capital Purchases 319 Shares of JPMorgan Chase & Co. (NYSE:JPM),"Rossmore Private Capital increased its holdings in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.3% in the third quarter, Holdings Channel reports. The firm owned 93,284 shares of the financial services provider’s stock after acquiring an additional 319 shar…",https://www.etfdailynews.com/2024/11/18/rossmore-private-capital-purchases-319-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-18T10:43:17Z,"Rossmore Private Capital increased its holdings in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.3% in the third quarter, Holdings Channel reports. The firm owned 93,284 shares of the financial … [+5655 chars]"
ETF Daily News,MarketBeat News,"Bretton Capital Management LLC Acquires Shares of 24,000 JPMorgan Chase & Co. (NYSE:JPM)","Bretton Capital Management LLC bought a new position in shares of JPMorgan Chase & Co. (NYSE:JPM) during the third quarter, Holdings Channel.com reports. The firm bought 24,000 shares of the financial services provider’s stock, valued at approximately $5,061,…",https://www.etfdailynews.com/2024/11/19/bretton-capital-management-llc-acquires-shares-of-24000-jpmorgan-chase-co-nysejpm/,2024-11-19T11:42:53Z,"Bretton Capital Management LLC bought a new position in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) during the third quarter, Holdings Channel.com reports. The firm bought 24,000 shares of the fina… [+5936 chars]"
ETF Daily News,MarketBeat News,"Ferguson Wellman Capital Management Inc. Sells 4,402 Shares of JPMorgan Chase & Co. (NYSE:JPM)","Ferguson Wellman Capital Management Inc. lowered its stake in JPMorgan Chase & Co. (NYSE:JPM) by 0.6% during the third quarter, according to its most recent Form 13F filing with the SEC. The firm owned 767,664 shares of the financial services provider’s stock…",https://www.etfdailynews.com/2024/11/19/ferguson-wellman-capital-management-inc-sells-4402-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-19T10:02:59Z,"Ferguson Wellman Capital Management Inc. lowered its stake in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.6% during the third quarter, according to its most recent Form 13F filing with the SEC. The firm… [+6219 chars]"
ETF Daily News,MarketBeat News,Intrepid Financial Planning Group LLC Sells 131 Shares of JPMorgan Chase & Co. (NYSE:JPM),"Intrepid Financial Planning Group LLC lessened its holdings in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.6% during the 3rd quarter, according to its most recent disclosure with the SEC. The fund owned 22,170 shares of the financial services provider’s st…",https://www.etfdailynews.com/2024/11/17/intrepid-financial-planning-group-llc-sells-131-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-17T10:59:00Z,"Intrepid Financial Planning Group LLC lessened its holdings in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.6% during the 3rd quarter, according to its most recent disclosure with the SEC. The … [+6215 chars]"
ETF Daily News,MarketBeat News,Miramar Capital LLC Sells 463 Shares of JPMorgan Chase & Co. (NYSE:JPM),"Miramar Capital LLC decreased its holdings in JPMorgan Chase & Co. (NYSE:JPM) by 0.9% in the third quarter, according to its most recent disclosure with the Securities & Exchange Commission. The institutional investor owned 52,074 shares of the financial serv…",https://www.etfdailynews.com/2024/11/20/miramar-capital-llc-sells-463-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-20T11:44:51Z,"Miramar Capital LLC decreased its holdings in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.9% in the third quarter, according to its most recent disclosure with the Securities &amp; Exchange Commission. … [+6170 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Shares Sold by KCM Investment Advisors LLC,"KCM Investment Advisors LLC trimmed its stake in JPMorgan Chase & Co. (NYSE:JPM) by 0.1% in the third quarter, HoldingsChannel.com reports. The fund owned 176,033 shares of the financial services provider’s stock after selling 248 shares during the quarter. J…",https://www.etfdailynews.com/2024/11/20/jpmorgan-chase-co-nysejpm-shares-sold-by-kcm-investment-advisors-llc/,2024-11-20T11:44:52Z,"KCM Investment Advisors LLC trimmed its stake in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.1% in the third quarter, HoldingsChannel.com reports. The fund owned 176,033 shares of the financial services… [+5473 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Shares Bought by Intellectus Partners LLC,"Intellectus Partners LLC grew its position in JPMorgan Chase & Co. (NYSE:JPM) by 2.6% in the third quarter, HoldingsChannel reports. The institutional investor owned 19,767 shares of the financial services provider’s stock after acquiring an additional 500 sh…",https://www.etfdailynews.com/2024/11/20/jpmorgan-chase-co-nysejpm-shares-bought-by-intellectus-partners-llc/,2024-11-20T09:02:55Z,"Intellectus Partners LLC grew its position in JPMorgan Chase &amp; Co. (NYSE:JPM) by 2.6% in the third quarter, HoldingsChannel reports. The institutional investor owned 19,767 shares of the financia… [+5931 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. Forecasts Strong Price Appreciation for Vertiv (NYSE:VRT) Stock,"Vertiv (NYSE:VRT – Get Free Report) had its target price upped by research analysts at JPMorgan Chase & Co. from $124.00 to $132.00 in a research note issued to investors on Tuesday,Benzinga reports. The brokerage currently has an “overweight” rating on the s…",https://www.etfdailynews.com/2024/11/21/jpmorgan-chase-co-forecasts-strong-price-appreciation-for-vertiv-nysevrt-stock/,2024-11-21T10:02:53Z,"Vertiv (NYSE:VRT – Get Free Report) had its target price upped by research analysts at JPMorgan Chase &amp; Co. from $124.00 to $132.00 in a research note issued to investors on Tuesday,Benzinga repo… [+4934 chars]"
Forbes,"Sughnen Yongo, Contributor, 
 Sughnen Yongo, Contributor
 https://www.forbes.com/sites/sughnenyongo/",How Black Women Veterans Are Redefining Entrepreneurship,Her journey as a business owner began in the military when a senior male colleague underestimated her abilities because of her gender.,https://www.forbes.com/sites/sughnenyongo/2024/11/21/how-black-women-veterans-are-redefining-entrepreneurship/,2024-11-21T20:37:33Z,"Returning Black soldier standing near American flag welcome home sign.
getty
Black women veterans are leading a wave of entrepreneurship that is giving back to their communities and changing percep… [+7530 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Shares Bought by Parthenon LLC,"Parthenon LLC lifted its stake in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.5% in the third quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The institutional investor owned 44,573 shares of the financial…",https://www.etfdailynews.com/2024/11/18/jpmorgan-chase-co-nysejpm-shares-bought-by-parthenon-llc/,2024-11-18T10:43:10Z,"Parthenon LLC lifted its stake in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.5% in the third quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission.… [+5667 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Position Lessened by Platform Technology Partners,"Platform Technology Partners trimmed its holdings in shares of JPMorgan Chase & Co. (NYSE:JPM) by 1.5% in the 3rd quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The institutional investor owned 28,11…",https://www.etfdailynews.com/2024/11/17/jpmorgan-chase-co-nysejpm-position-lessened-by-platform-technology-partners/,2024-11-17T10:58:58Z,"Platform Technology Partners trimmed its holdings in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 1.5% in the 3rd quarter, according to the company in its most recent disclosure with the Securiti… [+6069 chars]"
